iter	Passed	Remaining
354	791321	1437753
355	794693	1437591
356	798722	1438596
357	802170	1438528
358	805976	1439083
359	809573	1439242
360	814894	1442431
361	817714	1441166
362	820922	1440571
363	824657	1440885
364	827459	1439552
365	830540	1438695
366	835079	1440340
367	839027	1440938
368	843721	1442786
369	847351	1442787
370	853918	1447748
371	859472	1450937
372	862758	1450266
373	865544	1448745
374	869670	1449451
375	873705	1449979
376	881242	1456270
377	885462	1457031
378	888189	1455317
379	890909	1453589
380	893837	1452192
381	896724	1450722
382	899502	1449068
383	902408	1447612
384	905578	1446573
385	908552	1445210
386	911454	1443724
387	914232	1442036
388	916985	1440303
389	919495	1438185
390	922506	1436845
391	926395	1436858
392	931570	1438837
393	937760	1442342
394	945140	1447620
395	950119	1449172
396	959026	1456656
397	962742	1456208
398	971112	1462753
399	977813	1466720
400	981150	1465608
401	984345	1464275
402	987324	1462612
403	990161	1460732
404	993503	1459591
405	996175	1457458
406	998833	1455302
407	1001534	1453207
408	1004681	1451751
409	1007509	1449830
410	1010793	1448557
411	1014498	1447875
412	1017738	1446519
413	1021013	1445202
414	1025397	1445439
415	1029487	1445242
416	1033103	1444362
417	1036012	1442486
418	1039435	1441317
419	1042458	1439585
420	1046345	1439035
421	1049239	1437110
422	1052218	1435295
423	1058359	1437771
424	1063816	1439280
425	1067825	1438806
426	1071265	1437553
427	1075156	1436891
428	1078451	1435422
429	1081737	1433931
430	1084592	1431863
431	1087803	1430260
432	1093013	1431267
433	1097495	1431296
434	1102624	1432144
435	1107801	1433027
436	1112404	1433142
437	1115999	1431944
438	1121806	1433560
439	1126851	1434175
440	1129403	1431601
441	1132419	1429615
442	1136260	1428661
443	1140937	1428742
444	1144310	1427173
445	1150179	1428697
446	1154746	1428578
447	1158885	1427912
448	1161554	1425426
449	1166156	1425302
450	1172135	1426834
451	1178192	1428428
452	1182691	1428106
453	1190915	1432245
454	1193703	1429820
455	1196689	1427629
456	1200762	1426726
457	1203219	1423897
458	1205897	1421330
459	1208404	1418561
460	1211586	1416583
461	1214437	1414214
462	1216805	1411284
463	1219531	1408768
464	1223127	1407253
465	1229849	1409313
466	1232886	1407127
467	1237495	1406725
468	1246343	1411105
469	1269838	1431945
470	1279517	1437080
471	1283774	1436086
472	1287573	1434569
473	1290950	1432573
474	1294915	1431221
475	1298166	1429074
476	1301406	1426909
477	1304692	1424789
478	1308651	1423397
479	1312229	1421582
480	1315626	1419564
481	1318730	1417224
482	1321991	1415051
483	1325914	1413578
484	1329615	1411860
485	1333029	1409829
486	1336116	1407449
487	1339896	1405793
488	1343285	1403719
489	1346728	1401697
490	1349868	1399354
491	1352718	1396709
492	1356256	1394770
493	1359871	1392904
494	1363320	1390862
495	1367601	1389659
496	1371088	1387640
497	1374818	1385861
498	1377880	1383403
499	1381183	1381183
500	1384771	1379243
501	1387732	1376674
502	1390718	1374129
503	1393812	1371688
504	1396768	1369109
505	1399708	1366514
506	1402643	1363911
507	1405788	1361511
508	1409601	1359753
509	1413170	1357752
510	1416577	1355590
511	1419587	1353044
512	1422640	1350537
513	1425623	1347963
514	1428619	1345398
515	1431681	1342894
516	1434681	1340331
517	1437596	1337686
518	1440974	1335469
519	1444387	1333280
520	1447454	1330769
521	1450945	1328643
522	1453920	1326042
523	1456904	1323447
524	1460258	1321186
525	1463319	1318656
526	1466843	1316540
527	1469989	1314081
