iter	MultiClass
0	1.049166934
1	1.003480274
2	0.9612217983
3	0.9221595621
4	0.8856568691
5	0.8519220836
6	0.8203448579
7	0.7906673597
8	0.7627822773
9	0.7367442493
10	0.7121450568
11	0.6886212506
12	0.6665318581
13	0.6457969085
14	0.625978619
15	0.6072242352
16	0.5893801341
17	0.5723007038
18	0.5561558892
19	0.5406884924
20	0.5258745806
21	0.5119044029
22	0.4984808403
23	0.4855875333
24	0.4731237608
25	0.4613494656
26	0.449940371
27	0.4391609877
28	0.4287742044
29	0.4187774538
30	0.4092558546
31	0.3999877718
32	0.3910889907
33	0.3825302482
34	0.3742932731
35	0.3663425499
36	0.3587099872
37	0.3513883546
38	0.3442077912
39	0.3373414087
40	0.3307760217
41	0.3244062895
42	0.3183575906
43	0.3123672977
44	0.3065904603
45	0.3010666334
46	0.2958844976
47	0.290709639
48	0.2857055579
49	0.2809440039
50	0.2764110866
51	0.2719517557
52	0.2676547495
53	0.2635355941
54	0.2594657077
55	0.2555429007
56	0.2517531489
57	0.2480949291
58	0.244642836
59	0.2412872865
60	0.2379731979
61	0.2347276068
62	0.2315988794
63	0.2284971646
64	0.2255719182
65	0.2227737876
66	0.2199424054
67	0.2172438845
68	0.2146756488
69	0.2122769585
70	0.2098723416
71	0.2075495299
72	0.2054290854
73	0.2031611981
74	0.200852666
75	0.1988194865
76	0.1966881274
77	0.1947309482
78	0.1927259458
79	0.1908151715
80	0.1889382241
81	0.1872150481
82	0.1854278851
83	0.1837940212
84	0.1821492382
85	0.1805732542
86	0.1790075928
87	0.1775565566
88	0.1762156517
89	0.1748929039
90	0.1735683242
91	0.1722059491
92	0.1709716496
93	0.1697887899
94	0.1685966133
95	0.1673378652
96	0.1661749901
97	0.1649656309
98	0.1640379143
99	0.1629294661
100	0.1618860085
101	0.1609182755
102	0.1599905325
103	0.1591346769
104	0.15822919
105	0.1573175299
106	0.1563437559
107	0.1554333277
108	0.1547062335
109	0.1538397488
110	0.1530446049
111	0.1523321631
112	0.1515728934
113	0.1509095275
114	0.1501055051
115	0.1494278537
116	0.1488002801
117	0.1481325643
118	0.1475633393
119	0.1469635963
120	0.1464078076
121	0.1457338801
122	0.1451903032
123	0.1445446228
124	0.1439625565
125	0.1434537806
126	0.1428547353
127	0.1424012765
128	0.1419226143
129	0.1413369993
130	0.1409027393
131	0.1404313665
132	0.1398788553
133	0.1394567659
134	0.1390776333
135	0.1386043998
136	0.1381777929
137	0.1377173965
138	0.1373578745
139	0.1370092359
140	0.1366023268
141	0.1362661013
142	0.1358866822
143	0.1354650181
144	0.1351368926
145	0.1348203244
146	0.1344252771
147	0.1340193272
148	0.1337274353
149	0.1334451831
150	0.1331661484
151	0.1327578326
152	0.1323675763
153	0.1321611783
154	0.1319047938
155	0.1315815837
156	0.131303042
157	0.1309729128
158	0.1307460883
159	0.130419165
160	0.1302016704
161	0.1299880284
162	0.1297140674
163	0.1294672197
164	0.1292227424
165	0.1290042926
166	0.1287900158
167	0.12860296
168	0.1283989602
169	0.1282114863
170	0.1280358476
171	0.1278541437
172	0.1276095178
173	0.1274897377
174	0.1272122248
175	0.1269617475
176	0.1267895154
177	0.1265484086
178	0.1263651629
179	0.1262093037
180	0.1259952965
181	0.1258353546
182	0.1256480605
183	0.125429562
184	0.1252929184
185	0.1250006098
186	0.1248173627
187	0.1246365939
188	0.1244098939
189	0.1242975352
190	0.1241020424
191	0.1239635681
192	0.1238483894
193	0.1236982563
194	0.1235820799
195	0.1234848743
196	0.1232454109
197	0.123124477
198	0.1229883879
199	0.1228359251
200	0.1226682667
201	0.12252267
202	0.1223204718
203	0.1221250206
204	0.12192212
205	0.121798934
206	0.1216319049
207	0.1215111076
208	0.1213060715
209	0.1211654563
210	0.1210384613
211	0.1209129206
212	0.1207342559
213	0.1205100961
214	0.1203645879
215	0.1202581023
216	0.1201300314
217	0.1200239541
218	0.1198274027
219	0.1196970134
220	0.1195982376
221	0.1194756871
222	0.1193710962
223	0.1192289501
224	0.1191283257
225	0.1190295078
